term,selection_freq,is_interaction,is_income_int,survives
HAVARTH3_x_HLTHPLN2,0.0,True,False,False
CVDSTRK3_x_HLTHPLN2,0.0,True,False,False
CVDCRHD4_x_DIABETES,0.0,True,False,False
CVDCRHD4_x_HAVARTH3,0.0,True,False,False
CVDINFR4_x_HLTHPLN2,0.0,True,False,False
CVDINFR4_x_HAVARTH3,0.0,True,False,False
DRNKANY6_x_HLTHPLN2,0.0,True,False,False
INCOME3,0.0,False,False,False
MARITAL_x_PERSDOC3,0.0,True,False,False
PERSDOC3_x_DRNKANY6,0.0,True,False,False
PERSDOC3_x_EXERANY2,0.0,True,False,False
EDUCA_x__URBSTAT,0.0,True,False,False
EDUCA_x__BMI5CAT,0.0,True,False,False
EDUCA_x_PERSDOC3,0.0,True,False,False
EDUCA_x_ASTHMA3,0.0,True,False,False
EDUCA_x_HAVARTH3,0.0,True,False,False
EDUCA_x_HLTHPLN2,0.0,True,False,False
EDUCA_x_DIABETES,0.0,True,False,False
SEXVAR_x__AGEG5YR,0.0,True,False,False
SEXVAR_x__IMPRACE,0.0,True,False,False
SEXVAR_x_EMPLOY1,0.0,True,False,False
SEXVAR_x__URBSTAT,0.0,True,False,False
SEXVAR_x_CHECKUP1,0.0,True,False,False
SEXVAR_x_EXERANY2,0.0,True,False,False
SEXVAR_x_DRNKANY6,0.0,True,False,False
SEXVAR_x_HLTHPLN2,0.0,True,False,False
SEXVAR_x_DIABETES,0.0,True,False,False
_AGEG5YR_x_EMPLOY1,0.0,True,False,False
_AGEG5YR_x__URBSTAT,0.0,True,False,False
_AGEG5YR_x_DRNKANY6,0.0,True,False,False
EDUCA_x_MARITAL,0.0,True,False,False
EDUCA_x_EMPLOY1,0.0,True,False,False
EDUCA_x__IMPRACE,0.0,True,False,False
MEDCOST1,0.0,False,False,False
SEXVAR,0.0,False,False,False
MARITAL,0.0,False,False,False
_URBSTAT,0.0,False,False,False
PERSDOC3,0.0,False,False,False
EXERANY2,0.0,False,False,False
DRNKANY6,0.0,False,False,False
CVDSTRK3,0.0,False,False,False
HLTHPLN2,0.0,False,False,False
DIABETES,0.0,False,False,False
EDUCA_x__AGEG5YR,0.0,True,False,False
PREDIABETES,0.0,False,False,False
INCOME3_x__AGEG5YR,0.0,True,True,False
INCOME3_x__IMPRACE,0.0,True,True,False
INCOME3_x_EMPLOY1,0.0,True,True,False
INCOME3_x__BMI5CAT,0.0,True,True,False
INCOME3_x_PERSDOC3,0.0,True,True,False
INCOME3_x_CHECKUP1,0.0,True,True,False
EDUCA_x_SEXVAR,0.0,True,False,False
_AGEG5YR_x_CVDINFR4,0.0,True,False,False
_AGEG5YR_x_CVDCRHD4,0.0,True,False,False
_AGEG5YR_x_CVDSTRK3,0.0,True,False,False
_SMOKER3_x_CVDCRHD4,0.0,True,False,False
_URBSTAT_x_PERSDOC3,0.0,True,False,False
_URBSTAT_x_HLTHPLN2,0.0,True,False,False
_URBSTAT_x_MEDCOST1,0.0,True,False,False
_URBSTAT_x_DIABETES,0.0,True,False,False
_SMOKER3_x__BMI5CAT,0.0,True,False,False
_SMOKER3_x_PERSDOC3,0.0,True,False,False
_SMOKER3_x_CHECKUP1,0.0,True,False,False
_SMOKER3_x_DRNKANY6,0.0,True,False,False
_SMOKER3_x_HAVARTH3,0.0,True,False,False
MARITAL_x_DIABETES,0.0,True,False,False
_SMOKER3_x_CHCKDNY2,0.0,True,False,False
_SMOKER3_x_DIABETES,0.0,True,False,False
_BMI5CAT_x_CHECKUP1,0.0,True,False,False
_BMI5CAT_x_EXERANY2,0.0,True,False,False
_BMI5CAT_x_DRNKANY6,0.0,True,False,False
_BMI5CAT_x_CVDSTRK3,0.0,True,False,False
_BMI5CAT_x_MEDCOST1,0.0,True,False,False
_BMI5CAT_x_PREDIABETES,0.0,True,False,False
_URBSTAT_x__BMI5CAT,0.0,True,False,False
MARITAL_x_HLTHPLN2,0.0,True,False,False
_AGEG5YR_x_CHCKDNY2,0.0,True,False,False
EMPLOY1_x_CVDCRHD4,0.0,True,False,False
_AGEG5YR_x_PREDIABETES,0.0,True,False,False
_IMPRACE_x__SMOKER3,0.0,True,False,False
_IMPRACE_x_EXERANY2,0.0,True,False,False
_IMPRACE_x_DRNKANY6,0.0,True,False,False
_IMPRACE_x_HLTHPLN2,0.0,True,False,False
EMPLOY1_x_MARITAL,0.0,True,False,False
EMPLOY1_x_CHECKUP1,0.0,True,False,False
EMPLOY1_x_DRNKANY6,0.0,True,False,False
EMPLOY1_x_CVDSTRK3,0.0,True,False,False
MARITAL_x_ASTHMA3,0.0,True,False,False
EMPLOY1_x_MEDCOST1,0.0,True,False,False
EMPLOY1_x_DIABETES,0.0,True,False,False
MARITAL_x__URBSTAT,0.0,True,False,False
MARITAL_x__SMOKER3,0.0,True,False,False
MARITAL_x__BMI5CAT,0.0,True,False,False
EDUCA,0.0,False,False,False
MARITAL_x_CHECKUP1,0.0,True,False,False
MARITAL_x_DRNKANY6,0.0,True,False,False
DIABETES_x_PREDIABETES,0.0,True,False,False
